ingredient_unit,mapped_unit
bag,bag
bags,bag
batch,batch
batches,batch
block,block
blocks,block
box,box
boxes,box
bunch,bunch
bunches,bunch
clove,clove
cloves,clove
cm,centimetre
cms,centimetre
centimetre,centimetre
centimetres,centimetre
centimeter,centimetre
centimeters,centimetre
container,container
containers,container
cup,cup
cups,cup
dash,dash
gram,gram
grams,gram
g.,gram
handful,handful
head,head
inch,inch
inches,inch
lb.,pound
pound,pound
pounds,pound
mL,mL
oz.,ounce
ounce,ounce
ounces,ounce
piece,piece
pieces,piece
pinch,pinch
pkg.,package
package,package
packages,package
sheet,sheet
sheets,sheet
slice,slice
slices,slice
spear,spear
spears,spear
stalk,stalk
stalks,stalk
Tbsp.,tablespoon
tbsp.,tablespoon
tablespoon,tablespoon
tablespoons,tablespoon
tsp.,teaspoon
teaspoon,teaspoon
teaspoons,teaspoon
wedge,unit
wedges,unit
whole,unit
medium,unit
large,unit
